council,suburb,Adults - Obesity Rate
Greater Geelong,POINT WILSON,29.2
Golden Plains,ANAKIE,35.4
Golden Plains,BATESFORD,35.4
Golden Plains,LOVELY BANKS,35.4
Golden Plains,MOORABOOL,35.4
Greater Geelong,CORIO,29.2
Greater Geelong,NORLANE,29.2
Greater Geelong,NORTH SHORE,29.2
Greater Geelong,BELL PARK,29.2
Greater Geelong,BELL POST HILL,29.2
Greater Geelong,DRUMCONDRA,29.2
Greater Geelong,GEELONG NORTH,29.2
Greater Geelong,HAMLYN HEIGHTS,29.2
Greater Geelong,NORTH GEELONG,29.2
Greater Geelong,RIPPLESIDE,29.2
Greater Geelong,BELMONT,29.2
Greater Geelong,FRESHWATER CREEK,29.2
Greater Geelong,GROVEDALE,29.2
Greater Geelong,GROVEDALE EAST,29.2
Greater Geelong,HIGHTON,29.2
Greater Geelong,MARSHALL,29.2
Greater Geelong,MOUNT DUNEED,29.2
Greater Geelong,WANDANA HEIGHTS,29.2
Greater Geelong,WAURN PONDS,29.2
Surf Coast,ARMSTRONG CREEK,27.3
Surf Coast,CHARLEMONT,27.3
Surf Coast,DEAKIN UNIVERSITY,27.3
Surf Coast,FRESHWATER CREEK,27.3
Surf Coast,MOUNT DUNEED,27.3
Golden Plains,FYANSFORD,35.4
Golden Plains,GEELONG WEST,35.4
Golden Plains,HERNE HILL,35.4
Golden Plains,MANIFOLD HEIGHTS,35.4
Golden Plains,MURGHEBOLUC,35.4
Golden Plains,STONEHAVEN,35.4
Greater Geelong,BREAKWATER,29.2
Greater Geelong,EAST GEELONG,29.2
Greater Geelong,NEWCOMB,29.2
Greater Geelong,ST ALBANS PARK,29.2
Greater Geelong,THOMSON,29.2
Greater Geelong,WHITTINGTON,29.2
Greater Geelong,BAREENA,29.2
Greater Geelong,GEELONG,29.2
Greater Geelong,NEWTOWN,29.2
Greater Geelong,SOUTH GEELONG,29.2
Greater Geelong,ANAKIE,29.2
Greater Geelong,BARRABOOL,29.2
Greater Geelong,BATESFORD,29.2
Greater Geelong,BELLARINE,29.2
Greater Geelong,CERES,29.2
Greater Geelong,FYANSFORD,29.2
Greater Geelong,GEELONG MC,29.2
Greater Geelong,GNARWARRE,29.2
Greater Geelong,GREY RIVER,29.2
Greater Geelong,KENNETT RIVER,29.2
Greater Geelong,LOVELY BANKS,29.2
Greater Geelong,MOOLAP,29.2
Greater Geelong,MOORABOOL,29.2
Greater Geelong,MURGHEBOLUC,29.2
Greater Geelong,SEPARATION CREEK,29.2
Greater Geelong,STAUGHTON VALE,29.2
Greater Geelong,STONEHAVEN,29.2
Greater Geelong,SUGARLOAF,29.2
Greater Geelong,WALLINGTON,29.2
Greater Geelong,WONGARRA,29.2
Greater Geelong,WYE RIVER,29.2
Greater Geelong,CLIFTON SPRINGS,29.2
Greater Geelong,CURLEWIS,29.2
Greater Geelong,DRYSDALE,29.2
Greater Geelong,MANNERIM,29.2
Greater Geelong,MARCUS HILL,29.2
Greater Geelong,WALLINGTON,29.2
Greater Geelong,BELLARINE,29.2
Greater Geelong,INDENTED HEAD,29.2
Greater Geelong,PORTARLINGTON,29.2
Greater Geelong,ST LEONARDS,29.2
Greater Geelong,LEOPOLD,29.2
Greater Geelong,MOOLAP,29.2
Greater Geelong,POINT LONSDALE,29.2
Greater Geelong,QUEENSCLIFF,29.2
Greater Geelong,SWAN BAY,29.2
Greater Geelong,SWAN ISLAND,29.2
Greater Geelong,OCEAN GROVE,29.2
Surf Coast,BARWON HEADS,27.3
Surf Coast,BREAMLEA,27.3
Surf Coast,CONNEWARRE,27.3
Surf Coast,BELLBRAE,27.3
Surf Coast,BELLS BEACH,27.3
Surf Coast,JAN JUC,27.3
Surf Coast,TORQUAY,27.3
Surf Coast,ANGLESEA,27.3
Surf Coast,AIREYS INLET,27.3
Surf Coast,BIG HILL,27.3
Surf Coast,EASTERN VIEW,27.3
Surf Coast,FAIRHAVEN,27.3
Surf Coast,MOGGS CREEK,27.3
Surf Coast,BIG HILL,27.3
Surf Coast,LORNE,27.3
Colac Otway,APOLLO BAY,
Colac Otway,CAPE OTWAY,
Colac Otway,MARENGO,
Colac Otway,PETTICOAT CREEK,
Colac Otway,SKENES CREEK,
Colac Otway,SKENES CREEK NORTH,
Colac Otway,GREY RIVER,
Colac Otway,KENNETT RIVER,
Colac Otway,SEPARATION CREEK,
Colac Otway,SUGARLOAF,
Colac Otway,WONGARRA,
Colac Otway,WYE RIVER,
Colac Otway,BENWERRIN,
Colac Otway,BOONAH,
Colac Otway,DEANS MARSH,
Colac Otway,PENNYROYAL,
Colac Otway,FORREST,
Colac Otway,MOUNT SABINE,
Corangamite,AIRE VALLEY,33.3
Corangamite,BEECH FOREST,33.3
Corangamite,FERGUSON,33.3
Corangamite,GELLIBRAND LOWER,33.3
Corangamite,WATTLE HILL,33.3
Corangamite,WEEAPROINAH,33.3
Corangamite,WYELANGTA,33.3
Corangamite,YUULONG,33.3
Colac Otway,GLENAIRE,
Colac Otway,HORDERN VALE,
Colac Otway,JOHANNA,
Colac Otway,LAVERS HILL,
Corangamite,CARLISLE RIVER,33.3
Corangamite,CHAPPLE VALE,33.3
Corangamite,GELLIBRAND,33.3
Corangamite,KENNEDYS CREEK,33.3
Surf Coast,BUCKLEY,27.3
Surf Coast,GHERANG,27.3
Surf Coast,MODEWARRE,27.3
Surf Coast,MORIAC,27.3
Surf Coast,MOUNT MORIAC,27.3
Surf Coast,PARAPARAP,27.3
Colac Otway,BAMBRA,
Colac Otway,OMBERSLEY,
Colac Otway,WENSLEYDALE,
Colac Otway,WINCHELSEA,
Colac Otway,WINCHELSEA SOUTH,
Colac Otway,WURDIBOLUC,
Surf Coast,BIRREGURRA,27.3
Colac Otway,BARWON DOWNS,
Colac Otway,GERANGAMETE,
Colac Otway,MURROON,
Colac Otway,WARNCOORT,
Colac Otway,WHOOREL,
Corangamite,ALVIE,33.3
Corangamite,BALINTORE,33.3
Corangamite,BARONGAROOK,33.3
Corangamite,BARONGAROOK WEST,33.3
Corangamite,BARRAMUNGA,33.3
Corangamite,CORAGULAC,33.3
Corangamite,CORUNNUN,33.3
