council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR
Frankston,FRANKSTON,30.8,68.8
Frankston,FRANKSTON EAST,30.8,68.8
Frankston,FRANKSTON HEIGHTS,30.8,68.8
Frankston,FRANKSTON SOUTH,30.8,68.8
Frankston,KARINGAL,30.8,68.8
Frankston,KARINGAL CENTRE,30.8,68.8
Frankston,FRANKSTON NORTH,30.8,68.8
Frankston,PINES FOREST,30.8,68.8
Frankston,CARRUM DOWNS,30.8,68.8
Kingston,HEATHERTON,24.8,63.3
Glen Eira,BENTLEIGH,18.6,56.9
Glen Eira,MCKINNON,18.6,56.9
Glen Eira,ORMOND,18.6,56.9
Glen Eira,PATTERSON,18.6,56.9
Port Phillip,SOUTH MELBOURNE,17.4,54.4
Port Phillip,SOUTH MELBOURNE DC,17.4,54.4
Port Phillip,ALBERT PARK,17.4,54.4
Port Phillip,MIDDLE PARK,17.4,54.4
Melbourne,GARDEN CITY,15.3,48.8
Melbourne,PORT MELBOURNE,15.3,48.8
Greater Geelong,LITTLE RIVER,29.2,64.6
Greater Geelong,AVALON,29.2,64.6
Greater Geelong,LARA,29.2,64.6
Greater Geelong,POINT WILSON,29.2,64.6
Golden Plains,ANAKIE,35.4,71.9
Golden Plains,BATESFORD,35.4,71.9
Golden Plains,LOVELY BANKS,35.4,71.9
Golden Plains,MOORABOOL,35.4,71.9
Greater Geelong,CORIO,29.2,64.6
Greater Geelong,NORLANE,29.2,64.6
Greater Geelong,NORTH SHORE,29.2,64.6
Greater Geelong,BELL PARK,29.2,64.6
Greater Geelong,BELL POST HILL,29.2,64.6
Greater Geelong,DRUMCONDRA,29.2,64.6
Greater Geelong,GEELONG NORTH,29.2,64.6
Greater Geelong,HAMLYN HEIGHTS,29.2,64.6
Greater Geelong,NORTH GEELONG,29.2,64.6
Greater Geelong,RIPPLESIDE,29.2,64.6
Greater Geelong,BELMONT,29.2,64.6
Greater Geelong,FRESHWATER CREEK,29.2,64.6
Greater Geelong,GROVEDALE,29.2,64.6
Greater Geelong,GROVEDALE EAST,29.2,64.6
Greater Geelong,HIGHTON,29.2,64.6
Greater Geelong,MARSHALL,29.2,64.6
Greater Geelong,MOUNT DUNEED,29.2,64.6
Greater Geelong,WANDANA HEIGHTS,29.2,64.6
Greater Geelong,WAURN PONDS,29.2,64.6
Surf Coast,ARMSTRONG CREEK,27.3,63.6
Surf Coast,CHARLEMONT,27.3,63.6
Surf Coast,DEAKIN UNIVERSITY,27.3,63.6
Surf Coast,FRESHWATER CREEK,27.3,63.6
Surf Coast,MOUNT DUNEED,27.3,63.6
Golden Plains,FYANSFORD,35.4,71.9
Golden Plains,GEELONG WEST,35.4,71.9
Golden Plains,HERNE HILL,35.4,71.9
Golden Plains,MANIFOLD HEIGHTS,35.4,71.9
Golden Plains,MURGHEBOLUC,35.4,71.9
Golden Plains,STONEHAVEN,35.4,71.9
Greater Geelong,BREAKWATER,29.2,64.6
Greater Geelong,EAST GEELONG,29.2,64.6
Greater Geelong,NEWCOMB,29.2,64.6
Greater Geelong,ST ALBANS PARK,29.2,64.6
Greater Geelong,THOMSON,29.2,64.6
Greater Geelong,WHITTINGTON,29.2,64.6
Greater Geelong,BAREENA,29.2,64.6
Greater Geelong,GEELONG,29.2,64.6
Greater Geelong,NEWTOWN,29.2,64.6
Greater Geelong,SOUTH GEELONG,29.2,64.6
Greater Geelong,ANAKIE,29.2,64.6
Greater Geelong,BARRABOOL,29.2,64.6
Greater Geelong,BATESFORD,29.2,64.6
Greater Geelong,BELLARINE,29.2,64.6
Greater Geelong,CERES,29.2,64.6
Greater Geelong,FYANSFORD,29.2,64.6
Greater Geelong,GEELONG MC,29.2,64.6
Greater Geelong,GNARWARRE,29.2,64.6
Greater Geelong,GREY RIVER,29.2,64.6
Greater Geelong,KENNETT RIVER,29.2,64.6
Greater Geelong,LOVELY BANKS,29.2,64.6
Greater Geelong,MOOLAP,29.2,64.6
Greater Geelong,MOORABOOL,29.2,64.6
Greater Geelong,MURGHEBOLUC,29.2,64.6
Greater Geelong,SEPARATION CREEK,29.2,64.6
Greater Geelong,STAUGHTON VALE,29.2,64.6
Greater Geelong,STONEHAVEN,29.2,64.6
Greater Geelong,SUGARLOAF,29.2,64.6
Greater Geelong,WALLINGTON,29.2,64.6
Greater Geelong,WONGARRA,29.2,64.6
Greater Geelong,WYE RIVER,29.2,64.6
Greater Geelong,CLIFTON SPRINGS,29.2,64.6
Greater Geelong,CURLEWIS,29.2,64.6
Greater Geelong,DRYSDALE,29.2,64.6
Greater Geelong,MANNERIM,29.2,64.6
Greater Geelong,MARCUS HILL,29.2,64.6
Greater Geelong,WALLINGTON,29.2,64.6
Greater Geelong,BELLARINE,29.2,64.6
Greater Geelong,INDENTED HEAD,29.2,64.6
Greater Geelong,PORTARLINGTON,29.2,64.6
Greater Geelong,ST LEONARDS,29.2,64.6
